-------------------,--------------,DECLARACION X BOTS (1/2)
Timestamp,Accion,Detalle
2026-04-15 17:29:36,Navegacion,TG Bots -> Pagina de inicio cargada
2026-04-15 17:29:40,Credenciales,NDC -> Credenciales y Acceso ok
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:32:02, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:32:22, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:34:27, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:34:47, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:36:09, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:36:29, CierreOrden , NDC -> SI Declarada >>>>>
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:37:58, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:38:19, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:40:08, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:40:31, CierreOrden , NDC -> SI Declarada >>>>>
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:42:25, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:42:45, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:44:18, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:44:38, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:46:20, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:46:40, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:48:14, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:48:34, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:50:07, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:50:27, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:52:01, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:52:21, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:53:54, CierreOrden , NDC -> Declarada sin refuerzo
2026-04-15 17:54:14, CierreOrden ," NDC -> Orden no declarada, fallo la ultima notificación."
-------------------,--------------,--------------------------------------------------------------------------------
2026-04-15 17:55:58, CierreOrden , TG Bots -> Error: Ocurrió un error inesperado.
-------------------,--------------,--------------------------------------------------------------------------------
